tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
-1.00;;-1.00;-1.00;18294.00;0.60;5450860#1_0;5.10;0.00;tripinfo_10163 routing_10163;24906.00;10163;1;1740.19;1.12;0.00;24715.23;DEFAULT_VEHTYPE;end;111;23841.00
-1.00;;-1.00;-1.00;22506.00;4191.00;-96016135_0;2.26;0.00;tripinfo_10175 routing_10175;20694.00;10175;2;1375.37;1.17;0.00;20185.20;DEFAULT_VEHTYPE;end;62;19758.00
-1.00;;-1.00;-1.00;18328.00;0.40;625259600_0;5.10;0.00;tripinfo_10182 routing_10182;24872.00;10182;1;1914.59;0.98;0.00;24674.22;DEFAULT_VEHTYPE;end;88;24203.00
-1.00;;-1.00;-1.00;18633.00;303.60;4730623_0;5.10;0.00;tripinfo_10183 routing_10183;24567.00;10183;2;2284.93;1.07;0.00;23979.92;DEFAULT_VEHTYPE;end;107;23089.00
-1.00;;-1.00;-1.00;18597.00;265.80;856293284_0;5.10;0.00;tripinfo_10184 routing_10184;24603.00;10184;2;459.29;0.98;0.00;24568.34;DEFAULT_VEHTYPE;end;115;23626.00
-1.00;;-1.00;-1.00;18333.00;0.00;13654453_0;5.10;0.00;tripinfo_10185 routing_10185;24867.00;10185;1;1023.28;1.05;0.00;24795.89;DEFAULT_VEHTYPE;end;119;23801.00
-1.00;;-1.00;-1.00;18335.00;0.20;13853663_0;5.10;0.00;tripinfo_10186 routing_10186;24865.00;10186;1;1664.91;1.00;0.00;24429.92;DEFAULT_VEHTYPE;end;94;23790.00
-1.00;;-1.00;-1.00;23116.00;4745.20;-96016135_0;2.26;0.00;tripinfo_10206 routing_10206;20084.00;10206;2;2191.38;1.20;0.00;19788.99;DEFAULT_VEHTYPE;end;90;19021.00
-1.00;;-1.00;-1.00;42102.00;23722.20;183251547_0;5.10;0.00;tripinfo_10211 routing_10211;1098.00;10211;2;38.37;1.04;0.00;1092.59;DEFAULT_VEHTYPE;end;6;1045.00
-1.00;;-1.00;-1.00;25846.00;7462.60;839709051_0;5.10;0.00;tripinfo_10213 routing_10213;17354.00;10213;2;431.92;1.16;0.00;17326.17;DEFAULT_VEHTYPE;end;83;16429.00
-1.00;;-1.00;-1.00;19432.00;1045.00;1091652283_0;5.10;0.00;tripinfo_10215 routing_10215;23768.00;10215;2;3902.61;0.99;0.00;22172.25;DEFAULT_VEHTYPE;end;82;21548.00
-1.00;;-1.00;-1.00;26143.00;7745.20;839709051_0;5.10;0.00;tripinfo_10221 routing_10221;17057.00;10221;2;422.90;0.95;0.00;17023.92;DEFAULT_VEHTYPE;end;85;16150.00
-1.00;;-1.00;-1.00;19418.00;944.60;419709604#2_0;5.10;0.00;tripinfo_10263 routing_10263;23782.00;10263;2;2187.46;1.08;0.00;23318.03;DEFAULT_VEHTYPE;end;112;22517.00
-1.00;;-1.00;-1.00;18481.00;5.80;628755546#0_0;5.10;0.00;tripinfo_10264 routing_10264;24719.00;10264;1;3036.63;0.87;0.00;22728.92;DEFAULT_VEHTYPE;end;89;22268.00
