interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
21600.00;25200.00;21600_to_25200;2;0.28;1;4;8152056;0;0;0.28;3;0.13;23.88;117.85;5.13;0.92;16.48;22.89;0.00
21600.00;25200.00;21600_to_25200;3;3.07;2;71;8152060#0;0;0;3.07;70;1.43;9.93;722.43;7.08;0.85;95.14;9.20;0.00
21600.00;25200.00;21600_to_25200;2;3.62;2;84;8152060#1;0;0;3.62;84;1.64;7.64;655.56;7.23;0.87;67.15;6.91;0.00
21600.00;25200.00;21600_to_25200;4;2.45;2;55;832488060#1;0;0;2.45;52;1.16;14.17;795.34;6.70;0.80;145.88;13.05;26.00
21600.00;25200.00;21600_to_25200;1;1.64;2;40;832488061;0;0;1.64;41;0.77;9.75;407.65;7.57;0.91;35.84;9.09;0.00
21600.00;25200.00;21600_to_25200;2;2.80;3;34;8382421#0;0;0;2.80;35;1.33;17.72;650.80;3.93;0.47;340.62;16.54;233.00
21600.00;25200.00;21600_to_25200;0;0.61;3;13;8382440#0;0;0;0.61;14;0.30;38.07;568.71;6.93;0.83;81.25;37.08;16.00
21600.00;25200.00;21600_to_25200;0;5.22;3;75;8382447#0;0;0;5.22;78;1.74;2.28;175.55;6.28;0.75;23.65;1.42;0.00
21600.00;25200.00;21600_to_25200;0;0.12;2;1;8382447#1;0;0;0.12;3;0.06;13.81;40.03;7.36;0.88;6.16;13.17;0.00
21600.00;25200.00;21600_to_25200;1;0.62;1;14;8384886#1;0;0;0.62;14;0.29;13.74;204.88;7.02;0.84;24.85;12.99;0.00
21600.00;25200.00;21600_to_25200;3;1.32;0;33;8384893#0;0;0;1.32;30;0.62;11.41;376.26;7.41;0.89;33.44;10.64;0.00
21600.00;25200.00;21600_to_25200;1;0.33;0;8;8384893#1;0;0;0.33;7;0.15;10.54;83.85;7.14;0.86;7.46;9.84;0.00
21600.00;25200.00;21600_to_25200;2;5.54;5;132;8384902;0;0;5.54;135;2.57;10.03;1369.89;7.34;0.88;147.43;9.35;0.00
21600.00;25200.00;21600_to_25200;0;1.63;3;34;8384905;0;0;1.63;37;0.76;11.90;438.12;6.70;0.80;75.98;10.91;8.00
21600.00;25200.00;21600_to_25200;4;1.38;3;25;8384907;0;0;1.38;24;0.55;3.50;94.88;6.91;0.83;13.28;2.74;0.00
21600.00;25200.00;21600_to_25200;2;0.29;3;4;8384914;0;0;0.29;5;0.14;12.02;81.19;6.81;0.82;10.08;11.29;0.00
21600.00;25200.00;21600_to_25200;3;2.81;0;68;8384918;0;0;2.81;65;1.35;20.50;1393.08;6.95;0.83;197.03;19.62;26.00
21600.00;25200.00;21600_to_25200;4;0.78;0;13;8384926#0;0;0;0.78;9;0.37;17.59;225.97;4.85;0.58;91.74;16.33;52.00
21600.00;25200.00;21600_to_25200;2;1.56;3;35;8384928;0;0;1.56;37;0.73;11.34;439.12;7.34;0.88;46.91;10.57;0.00
21600.00;25200.00;21600_to_25200;0;1.49;60;0;839709051;0;0;0.74;60;0.37;21.06;1236.37;11.22;0.81;227.79;20.68;0.00
21600.00;25200.00;21600_to_25200;89;1.93;0;88;839709054;0;0;0.96;0;0.47;10.54;926.77;13.15;0.95;45.92;10.17;0.00
21600.00;25200.00;21600_to_25200;2;6.14;0;276;856293281;26;26;3.07;273;1.52;33.23;9165.74;12.62;0.91;667.94;32.83;0.00
21600.00;25200.00;21600_to_25200;2;133.33;5;59;856293282;0;0;133.33;62;2.48;2.05;128.80;2.53;0.18;105.14;1.25;70.00
21600.00;25200.00;21600_to_25200;5;1.40;4;57;856293283;0;0;0.70;56;0.33;8.43;512.39;12.63;0.91;39.38;8.04;0.00
21600.00;25200.00;21600_to_25200;4;4.20;1;190;856293284;11;11;2.10;186;1.02;13.43;2557.24;12.97;0.93;139.58;13.04;0.00
21600.00;25200.00;21600_to_25200;1;4.79;0;200;856293285#0;6;6;2.40;197;1.11;5.89;1173.02;12.38;0.89;91.85;5.45;0.00
21600.00;25200.00;21600_to_25200;95;2.03;0;95;856293285#1;29;29;1.01;0;0.50;36.49;3457.19;13.12;0.94;172.80;36.11;0.00
21600.00;25200.00;21600_to_25200;1;1.44;4;60;856297346;0;0;0.72;63;0.35;9.76;623.19;12.82;0.92;40.67;9.38;0.00
21600.00;25200.00;21600_to_25200;0;0.61;4;6;875773546;0;0;0.61;10;0.30;18.39;179.58;4.69;0.56;78.57;17.24;43.00
21600.00;25200.00;21600_to_25200;0;188.72;1;62;879483837;14;14;94.36;41;40.61;636.23;22868.22;0.06;0.00;22765.19;566.36;21991.47
21600.00;25200.00;21600_to_25200;5;12.74;2;32;887989674;0;0;12.74;28;3.85;11.35;364.54;1.14;0.14;318.43;10.02;272.00
21600.00;25200.00;21600_to_25200;3;4.90;4;181;897211373#0;50;50;2.45;182;1.08;4.00;738.41;11.70;0.84;87.85;3.51;0.00
21600.00;25200.00;21600_to_25200;4;7.12;2;285;897325985#1;11;11;3.56;282;1.59;3.72;1062.83;12.49;0.90;94.68;3.32;3.00
21600.00;25200.00;21600_to_25200;3;15.69;3;188;900443644#0;0;0;7.84;186;3.50;7.75;1470.42;4.00;0.48;741.51;6.67;291.00
21600.00;25200.00;21600_to_25200;1;2.70;7;12;96016135;0;0;2.70;18;0.60;2.11;33.26;4.00;0.72;8.20;0.72;0.00
21600.00;25200.00;21600_to_25200;3;3.32;2;83;96016144;0;0;3.32;81;1.61;24.50;2072.27;7.29;0.87;194.43;23.72;0.00
21600.00;25200.00;21600_to_25200;0;4.34;75;0;963479927#0;66;66;1.45;74;0.70;10.78;721.66;4.75;0.34;472.49;9.98;124.00
21600.00;25200.00;21600_to_25200;3;34.97;0;36;E1;0;0;34.97;33;0.67;0.73;25.18;7.08;0.51;9.04;0.03;0.00
25200.00;28800.00;25200_to_28800;7;1.25;0;28;-1024105863;0;0;1.25;21;0.53;4.30;117.68;7.25;0.87;11.62;3.60;0.00
25200.00;28800.00;25200_to_28800;4;0.37;3;6;-1106583870;0;0;0.37;5;0.18;13.78;120.13;6.88;0.83;15.19;12.86;0.00
