tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
449.00;8384914_0;76.82;8.26;269.00;0.80;-4726710#1_0;5.10;0.00;tripinfo_149 routing_149;180.00;149;1;1242.91;1.04;0.00;20.74;DEFAULT_VEHTYPE;;0;0.00
454.00;117055114#0_0;42.57;8.84;231.00;0.60;-4726710#1_0;5.10;0.00;tripinfo_128 routing_128;223.00;128;1;1931.97;1.18;0.00;76.51;DEFAULT_VEHTYPE;;2;28.00
466.00;625259599_0;136.88;13.67;189.00;0.00;13654453_0;5.10;0.00;tripinfo_105 routing_105;277.00;105;1;2510.31;1.06;0.00;103.36;DEFAULT_VEHTYPE;;2;77.00
467.00;628757206#0_0;106.32;8.50;274.00;0.40;-96016135_0;2.26;0.00;tripinfo_152 routing_152;193.00;152;1;1291.61;1.12;0.00;53.41;DEFAULT_VEHTYPE;;4;22.00
467.00;4726710#0_0;56.38;5.42;335.00;0.20;583307357#0_0;0.20;0.00;tripinfo_186 routing_186;132.00;186;1;759.54;0.98;0.00;27.52;DEFAULT_VEHTYPE;;2;7.00
468.00;-17073048#1_0;18.49;8.36;247.00;0.40;-96016135_0;2.26;0.00;tripinfo_137 routing_137;221.00;137;1;1559.61;1.06;0.00;43.26;DEFAULT_VEHTYPE;;3;9.00
475.00;856293281_0;414.49;12.35;218.00;0.20;31449007_0;5.10;0.00;tripinfo_121 routing_121;257.00;121;1;1566.30;0.96;0.00;43.75;DEFAULT_VEHTYPE;;1;5.00
475.00;628755547#0_0;228.06;8.13;303.00;0.60;1188284582#2_0;5.10;0.00;tripinfo_168 routing_168;172.00;168;1;1663.34;1.00;0.00;20.27;DEFAULT_VEHTYPE;;0;0.00
477.00;4730651_0;94.25;6.33;195.00;0.60;377719665_0;5.10;0.00;tripinfo_108 routing_108;282.00;108;1;1599.79;0.91;0.00;68.66;DEFAULT_VEHTYPE;;3;33.00
477.00;231483339#0_0;116.61;8.34;344.00;0.20;14858868_0;5.10;0.00;tripinfo_191 routing_191;133.00;191;1;871.86;1.14;0.00;40.08;DEFAULT_VEHTYPE;;3;13.00
478.00;839709054_0;133.62;13.36;256.00;0.40;31411842_0;5.10;0.00;tripinfo_142 routing_142;222.00;142;1;1293.87;1.01;0.00;45.40;DEFAULT_VEHTYPE;;1;16.00
479.00;856293285#1_0;473.70;14.70;119.00;0.20;8152056_0;5.10;0.00;tripinfo_66 routing_66;360.00;66;1;3165.91;1.12;0.00;76.10;DEFAULT_VEHTYPE;;3;22.00
479.00;4730631#1_0;69.43;7.34;423.00;3.60;1238600634#0_0;0.53;0.00;tripinfo_233 routing_233;56.00;233;1;394.28;1.00;0.00;8.45;DEFAULT_VEHTYPE;;1;1.00
