interval_begin;interval_end;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
21600.00;25200.00;-1.0;141.97;-2.0;-131.0;4726717;-47.0;-47.0;70.99;-133.0;35.11;3518.42;172378.04;-12.75;-0.92;175841.56999999998;3436.06;169035.48
21600.00;25200.00;-1.0;-2.6099999999999994;0.0;-116.0;4726737;-20.0;-20.0;-1.31;-114.0;-0.6400000000000001;-0.10999999999999943;-1604.8799999999999;0.09999999999999964;0.0;-102.06;-0.10999999999999943;0.0
21600.00;25200.00;-2.0;137.54000000000002;-3.0;-196.0;4726785#1;-6.0;-6.0;68.78;-233.0;31.500000000000004;494.41999999999996;33557.18;-12.26;-0.88;34861.950000000004;452.12;32916.72
21600.00;25200.00;-1.0;-23.17;0.0;-75.0;4730616#1;0.0;0.0;-23.17;-74.0;-1.37;0.81;-55.89;-3.4800000000000004;-0.42;-5.14;;0.0
21600.00;25200.00;-1.0;-3.02;0.0;-72.0;4730616#2;0.0;0.0;-3.02;-71.0;-1.3800000000000001;-0.16999999999999993;-652.35;0.13999999999999968;0.020000000000000018;-67.60999999999999;-0.009999999999999787;0.0
21600.00;25200.00;-2.0;131.14000000000001;1.0;-26.0;4730618;0.0;0.0;131.14000000000001;-24.0;65.5;3920.52;83930.27;-6.680000000000001;-0.8;84576.39;3855.21;81299.0
21600.00;25200.00;-4.0;54.089999999999996;0.0;-17.0;4730619;0.0;0.0;54.089999999999996;-11.0;27.05;1004.2700000000001;40751.6;-7.2700000000000005;-0.88;41212.2;1002.19;39214.0
21600.00;25200.00;-2.0;132.02;-2.0;-5.0;4730620;0.0;0.0;132.02;-5.0;66.33;3976.14;46175.07;-7.05;-0.85;46421.87;3871.87;45101.0
21600.00;25200.00;-2.0;112.87;-2.0;-12.0;4730623;0.0;0.0;112.87;-16.0;55.54;3335.8599999999997;55470.04;-7.28;-0.87;55847.13;3287.15;54492.0
21600.00;25200.00;-3.0;1.2199999999999998;0.0;-66.0;4730624;0.0;0.0;1.2199999999999998;-64.0;0.6500000000000001;172.01;868.6799999999998;-6.180000000000001;-0.74;2536.06;171.07999999999998;2671.0
21600.00;25200.00;-5.0;;-4.0;-105.0;4730627;0.0;0.0;;-104.0;;;-1421.2;;;;;
21600.00;25200.00;-1.0;-0.010000000000000009;0.0;-1.0;4730631#0;0.0;0.0;-0.010000000000000009;0.0;-0.010000000000000009;0.9699999999999989;-3.809999999999995;-0.7300000000000004;-0.08999999999999997;-0.6500000000000004;0.8399999999999999;0.0
21600.00;25200.00;-2.0;-0.29000000000000004;0.0;-7.0;4730631#1;0.0;0.0;-0.29000000000000004;-5.0;-0.13;0.25;-71.63;-0.16999999999999993;-0.020000000000000018;-8.39;0.23000000000000043;0.0
21600.00;25200.00;-1.0;130.38000000000002;-2.0;-49.0;4730633;0.0;0.0;130.38000000000002;-50.0;67.14;2642.67;31563.02;-6.859999999999999;-0.83;32048.719999999998;2474.81;31538.0
21600.00;25200.00;-4.0;129.72;-1.0;12.0;4730634;0.0;0.0;129.72;12.0;64.82000000000001;1673.0;59823.89000000001;-7.34;-0.88;59843.149999999994;1663.8;56738.0
21600.00;25200.00;0.0;130.1;0.0;15.0;4730636;0.0;0.0;130.1;12.0;64.07;2145.57;43435.36;-4.58;-0.82;43397.85;2101.2;42250.0
21600.00;25200.00;-1.0;0.52;0.0;13.0;4730637#0;0.0;0.0;0.52;14.0;0.24;0.20999999999999908;150.14;-0.13999999999999968;-0.020000000000000018;22.629999999999995;0.1899999999999995;0.0
21600.00;25200.00;-1.0;1.4000000000000001;0.0;31.0;4730637#1;0.0;0.0;1.4000000000000001;34.0;0.6799999999999999;1.1700000000000017;759.8800000000001;-0.3899999999999997;-0.050000000000000044;121.99000000000001;1.120000000000001;0.0
21600.00;25200.00;-3.0;1.42;0.0;29.0;4730637#3;0.0;0.0;1.42;32.0;0.6500000000000001;0.629999999999999;292.56;-0.5199999999999996;-0.07000000000000006;52.06;0.5299999999999994;0.0
21600.00;25200.00;-4.0;29.24;0.0;-22.0;4730637#4;0.0;0.0;29.24;-27.0;14.64;702.5899999999999;13837.99;-7.1499999999999995;-0.86;14230.359999999999;687.22;13961.0
21600.00;25200.00;0.0;131.0;0.0;3.0;4730638;0.0;0.0;131.0;2.0;65.47;1803.49;35139.54;-7.28;-0.87;35196.159999999996;1762.55;34169.0
21600.00;25200.00;-4.0;1.38;0.0;30.0;4730644;0.0;0.0;1.38;34.0;0.6500000000000001;0.7099999999999991;395.53999999999996;-0.39999999999999947;-0.04999999999999993;78.4;0.6799999999999997;0.0
21600.00;25200.00;-3.0;-0.30000000000000004;0.0;-6.0;4730647#0;0.0;0.0;-0.30000000000000004;-3.0;-0.12;0.04999999999999982;-21.43;-0.10000000000000053;-0.010000000000000009;-4.1899999999999995;0.06999999999999984;0.0
21600.00;25200.00;-1.0;1.1900000000000002;0.0;25.0;4730647#1;0.0;0.0;1.1900000000000002;26.0;0.57;1.879999999999999;615.25;-0.6299999999999999;-0.06999999999999995;151.88;1.8200000000000003;0.0
21600.00;25200.00;-1.0;-0.15000000000000002;0.0;-4.0;4730647#2;0.0;0.0;-0.15000000000000002;-3.0;-0.07999999999999999;0.33999999999999986;-58.499999999999986;-0.16000000000000014;-0.020000000000000018;-4.57;0.27999999999999936;0.0
21600.00;25200.00;-1.0;75.85000000000001;0.0;65.0;4730648#0;0.0;0.0;75.85000000000001;43.0;37.900000000000006;1014.49;39071.75;-6.9;-0.82;38503.94;1003.91;36767.0
21600.00;25200.00;1.0;-0.019999999999999962;0.0;0.0;4730648#2;0.0;0.0;-0.019999999999999962;-1.0;-0.010000000000000009;0.10000000000000009;-0.5700000000000003;-0.17999999999999972;-0.030000000000000027;-0.6000000000000001;0.0;0.0
21600.00;25200.00;-1.0;0.15000000000000002;0.0;0.0;4730649;0.0;0.0;0.15000000000000002;1.0;0.07;8.939999999999998;133.8900000000001;-1.46;-0.18000000000000005;143.37;8.870000000000005;132.0
21600.00;25200.00;-4.0;24.0;0.0;-133.0;4730651;0.0;0.0;24.0;-127.0;12.129999999999999;371.77;8140.889999999999;-7.19;-0.86;9728.53;369.76;9663.0
